YEAR,ZIP Code,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom
2014,60707,680,780,920,1170,1370
2014,60712,1090,1240,1470,1870,2180
2014,60714,710,810,960,1220,1430
2014,60803,640,730,860,1100,1280
2014,60804,620,710,840,1070,1250
2014,60805,760,870,1030,1310,1530
2014,60827,730,830,980,1250,1460
2014,60126,880,1000,1190,1520,1770
2014,60015,1090,1240,1470,1870,2180
2014,60423,760,870,1030,1310,1530
